 twitter_handle,Source,Type,Domain,Rating,Score,Country,Language,target_user_id,followers
MustReadAlaska,https://twitter.com/MustReadAlaska,TWITTER,mustreadalaska.com,N,49.5,US,en,721820969690468352,3133.0
NatEnquirer,https://twitter.com/NatEnquirer,TWITTER,nationalenquirer.com,N,20.0,US,en,357564628,19523.0
NationalFile,https://twitter.com/nationalfile,TWITTER,nationalfile.com,N,10.0,US,en,1151261114384171008,42475.0
nrlc,https://twitter.com/nrlc,TWITTER,nationalrighttolifenews.org,N,7.5,US,en,22170482,69108.0
thehealthguy,https://twitter.com/thehealthguy,TWITTER,naturalhealth365.com,N,7.5,US,en,1284584906857877506,11.0
NaturalSolution,https://twitter.com/naturalsolution,TWITTER,naturalsolutionsmag.com,N,37.5,US,en,14668648,6580.0
NeonNettle,https://twitter.com/NeonNettle,TWITTER,neonnettle.com,N,52.0,US,en,1596469960708165632,7.0
NVSenateUpdates,https://twitter.com/NVSenateUpdates/,TWITTER,nevadasenateupdates.com,N,37.0,US,en,911279861229948933,169.0
NewAgeBDcom,https://twitter.com/NewAgeBDcom,TWITTER,newagebd.net,N,35.0,US,en,938687642,103742.0
newsbreakApp,https://twitter.com/newsbreakApp,TWITTER,newsbreak.com,N,12.5,US,en,4127951894,55866.0
statesnewsroom,https://twitter.com/statesnewsroom,TWITTER,newsfromthestates.com,N,57.0,US,en,943170877071470592,16420.0
NewsLiveFree,https://twitter.com/NewsLiveFree/,TWITTER,newslive.com,N,44.5,US,en,1473889073077141510,32.0
NEWSMAX,https://twitter.com/newsmax?lang=en,TWITTER,newsmax.com,N,20.0,US,en,20545835,2657323.0
NewsRescue,https://www.twitter.com/newsrescue,TWITTER,newsrescue.com,N,17.5,US,en,42958086,3904.0
NickAdamsinUSA,https://twitter.com/nickadamsinusa,TWITTER,nickadamsusa.com,N,44.5,US,en,91583544,547210.0
