"","target_user_id","twitter_handle","fib_index","total_reshares","Source","Type","Domain","Rating","Score","Country","Language","followers","total_followers","cumulative_followers","percentage_cumulative_followers"
"1237","1596214923071201281","JoeDelfino9",17,589,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",5393,729856343,729346710,99.93
"1238","1188084175628197889","WZCOrangeGarden",13,478,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",5368,729856343,729352078,99.931
"1239","2559110916","FinishTheRace",NA,NA,"https://twitter.com/FinishTheRace","TWITTER","finishtherace.com","N",12.5,"US","en",5239,729856343,729357317,99.932
"1240","1214914228714430465","GanderNewsroom",NA,NA,"https://twitter.com/GanderNewsroom","TWITTER","gandernewsroom.com","N",57,"US","en",5237,729856343,729362554,99.932
"1241","821095705724866560","TheTNStar",NA,NA,"https://twitter.com/thetnstar","TWITTER","theconnecticutstar.com","N",40,"US","en",5210,729856343,729367764,99.933
"1242","1254748893453053952","YiboW_MTJJ_KR",15,586,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",5183,729856343,729372947,99.934
"1243","1263221313180700674","SeanTho98192182",15,952,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",5155,729856343,729378102,99.934
"1244","880827818690490368","kimura_kenchin",17,1040,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",5146,729856343,729383248,99.935
"1245","1204828671896379397","UpNorthNewsWI",NA,NA,"https://twitter.com/upnorthnewswi","TWITTER","upnorthnewswi.com","N",57,"US","en",5097,729856343,729388345,99.936
"1246","1428076295007703043","TheRealFrankSp1",NA,NA,"https://twitter.com/TheRealFrankSp1","TWITTER","frankspeech.com","N",15,"US","en",4989,729856343,729393334,99.937
"1247","1463201102443134976","danghwang1122",20,3049,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",4963,729856343,729398297,99.937
"1248","1480481415058042880","CHERRYYT1026",22,2568,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",4962,729856343,729403259,99.938
"1249","1214911363971190784","TheKeystone",NA,NA,"https://twitter.com/thekeystone","TWITTER","keystonenewsroom.com","N",57,"US","en",4955,729856343,729408214,99.939
"1250","1234862609758900224","PatFish62304572",15,455,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",4897,729856343,729413111,99.939
